"ID_SS";"ID_SS_bis";"exp_ais";"exp_individu";"exp_public";"exp_société";"exp_total"
373;"21009A41-";0;4;0;1;5
374;"21009A83-";0;0;6;0;6
375;"21009A52-";1;5;6;2;14
376;"21009A2MJ";0;1;1;9;11
377;"21009A44-";1;4;0;2;7
378;"21009A712";0;0;1;0;1
379;"21009A72-";0;5;0;2;7
380;"21009A911";0;1;0;0;1
381;"21009A311";0;0;0;0;0
382;"21009A802";0;0;0;0;0
383;"21009A82-";0;2;1;0;3
384;"21009A111";0;7;0;3;10
385;"21009A01-";0;5;1;2;8
386;"21009A22-";0;3;0;3;6
387;"21009A53-";1;11;0;1;13
388;"21009A512";0;0;0;0;0
390;"21009A612";0;4;1;3;8
391;"21009A151";0;1;0;0;1
392;"21009A922";0;0;0;0;0
393;"21009A29-";0;0;0;0;0
394;"21009A73-";0;5;0;0;5
395;"21009A451";0;2;2;0;4
396;"21009A192";0;0;0;0;0
397;"21010A393";0;0;0;0;0
398;"21010A04-";0;18;0;4;22
400;"21010A03-";1;6;1;2;10
401;"21010A182";0;0;0;0;0
402;"21010A10-";0;6;0;0;6
403;"21010A121";0;1;1;1;3
404;"21010A111";0;6;0;0;6
405;"21010A312";0;1;0;0;1
406;"21010A4MJ";0;0;0;0;0
407;"21010A1AJ";0;3;0;0;3
408;"21010A05-";2;18;2;4;26
409;"21010A493";0;0;0;0;0
410;"21010A13-";0;9;0;1;10
411;"21010A00-";0;13;0;1;14
412;"21010A141";0;12;0;3;15
413;"21010A01-";1;11;0;2;14
414;"21010A21-";1;15;2;3;21
415;"21010A02-";0;12;0;1;13
416;"21011A11-";0;2;1;0;3
417;"21011A30-";2;7;2;3;14
418;"21011A20-";0;14;1;1;16
419;"21011A10-";0;13;0;1;14
420;"21011A01-";1;17;0;0;18
421;"21011A02-";1;3;0;2;6
422;"21011A00-";0;6;0;1;7
423;"21011A12-";0;2;0;0;2
425;"21012A552";1;4;0;0;5
426;"21012A833";0;0;0;0;0
427;"21012A84-";0;1;0;0;1
428;"21012A24-";1;9;0;2;12
429;"21012A26-";1;24;0;0;25
431;"21012A25-";0;0;0;0;0
432;"21012A172";0;3;0;0;3
